问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,225,18,M:System.Windows.DependencyObject.GetValue(System.Windows.DependencyProperty),,,,,return (bool)GetValue(IsCanConnectProperty);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,218,16,T:System.Windows.Controls.TextBox,,,,,this.qr_r_txt.Text = Convert.ToBase64String(buffer);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,218,16,P:System.Windows.Controls.TextBox.Text,,,,,this.qr_r_txt.Text = Convert.ToBase64String(buffer);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,216,12,T:System.Windows.Threading.Dispatcher,,,,,Dispatcher.Invoke(() =>              {                  this.qr_r_txt.Text = Convert.ToBase64String(buffer);              });
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,216,12,P:System.Windows.Threading.DispatcherObject.Dispatcher,,,,,Dispatcher.Invoke(() =>              {                  this.qr_r_txt.Text = Convert.ToBase64String(buffer);              });
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,216,12,M:System.Windows.Threading.Dispatcher.Invoke(System.Action),,,,,Dispatcher.Invoke(() =>              {                  this.qr_r_txt.Text = Convert.ToBase64String(buffer);              });
Api.0002,对所选 .NET 版本源代码不兼容,Active,Potential,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,121,32,M:System.TimeSpan.FromMinutes(System.Double),,,,,if (item.IsProcessing(TimeSpan.FromMinutes(1)))                                  {                                      continue;                                  }
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,88,20,T:System.Windows.MessageBox,,,,,"MessageBox.Show($""链接已关闭"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,88,20,T:System.Windows.MessageBoxResult,,,,,"MessageBox.Show($""链接已关闭"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,88,20,M:System.Windows.MessageBox.Show(System.String),,,,,"MessageBox.Show($""链接已关闭"");"
